Name,Number,Source,Position,Trigger,Anode,Cathode,Shield,Livetime,Corrected Livetime,Events,Corrected Events,Processed,Category,Comment
xe100_141117_1744,1411171744,YBe,other,S1,4.4,5.4,closed,66347.1,66347.1,241819,241819,0.4.5,,YBe dataset - NO HE veto - low flow purge.
xe100_141118_1209,1411181209,YBe,other,S1,4.4,5.4,closed,99892,99892,351238,351238,0.4.5,,YBe dataset - NO HE veto - low flow purge.
xe100_141119_1549,1411191549,YBe,other,S1,4.4,5.4,closed,75044.4,75044.4,271411,271411,0.4.5,,YBe dataset - NO HE veto - low flow purge.
xe100_141120_1236,1411201236,YBe,other,S1,4.4,5.4,closed,75499.2,75499.2,268966,270000,0.4.5,,YBe dataset - NO HE veto - low flow purge.
xe100_141128_1219,1411281219,LED,other,EXT,4.4,5.4,closed,1075.43,,100000,,,,"F1 4.70V, F2 4.85V, width 4usi, bottom NIM crate OFF"
xe100_141128_1245,1411281245,Cs137,red,S1,4.4,5.4,closed,3754.3,,100000,,,,"88YBe inside shield, low field, +-220 us window bottom NIM crate OFF"
xe100_141128_1641,1411281641,YBe,other,S1,4.4,5.4,closed,68287.7,68287.7,139139,139139,0.4.5,,YBe dataset - NO HE veto - bottom NIM crate OFF
xe100_141129_1141,1411291141,LED,other,EXT,4.4,5.4,closed,1029.52,,100000,,,,"F1 4.70V, F2 4.85V, width 4usi"
xe100_141129_1248,1411291248,Cs137,red,S1,4.4,5.4,closed,2030.38,2030.4,100000,100000,0.4.5,,"88YBe inside shield, low field, +-220 us window"
xe100_141129_1415,1411291415,YBe,other,S1,4.4,5.4,closed,89896.6,89896.6,545601,545601,0.4.5,,YBe dataset - NO HE veto.
xe100_141130_1518,1411301518,YBe,other,S1,4.4,5.4,closed,87827.3,87827.3,532035,532035,0.4.5,,YBe dataset - NO HE veto.
xe100_141201_1628,1412011628,YBe,other,S1,4.4,5.4,closed,85337.8,85337.8,369470,369470,0.4.5,,YBe dataset - NO HE veto.
xe100_141202_1613,1412021613,YBe,other,S1,4.4,5.4,closed,90006.5,90006.5,233851,233851,0.4.5,,YBe dataset - NO HE veto.
xe100_141203_1713,1412031713,YBe,other,S1,4.4,5.4,closed,168667,,430750,,0.4.5,,YBe dataset - NO HE veto.
xe100_141205_1614,1412051614,LED,other,EXT,4.4,5.4,closed,1157.14,,100000,,,,"F1 4.60V, F2 4.85V, width 4usi"
xe100_141205_1725,1412051725,YBe,other,S1,4.4,5.4,closed,73040,,184545,,,,YBe dataset - NO HE veto.
xe100_141206_1346,1412061346,Cs137,red,S1,4.4,5.4,closed,3702.91,3702.9,100000,100000,0.4.5,,"88YBe inside shield, low field, +-220 us window"
xe100_141206_1607,1412061607,YBe,other,S1,4.4,5.4,closed,126783,,317216,,0.4.5,,YBe dataset - NO HE veto.
xe100_141208_0313,1412080313,YBe,other,S1,4.4,5.4,closed,19926.2,,49814,,0.4.5,,YBe dataset - NO HE veto.
xe100_141208_0848,1412080848,YBe,other,S1,4.4,5.4,closed,3798.29,,5843,,0.4.5,,YBe dataset - with HE veto.
xe100_141208_0954,1412080954,Cs137,red,S1,4.4,5.4,closed,3751.12,3751.1,100000,100000,0.4.5,,"88YBe inside shield, low field, +-220 us window"
xe100_141208_1507,1412081507,Cs137,red,S1,4.4,5.4,closed,3770.78,3770.8,100000,100000,0.4.5,,"88YBe inside shield, low field, +-220 us window"
xe100_141208_1928,1412081928,YBe,other,S1,4.4,5.4,closed,52330.8,,129259,,,,YBe dataset - NO HE veto.
xe100_141211_1153,1412111153,Cs137,red,S1,4.4,5.4,closed,3640.9,3640.9,100000,100000,0.4.5,,"88YBe inside shield, low field, +-220 us window"
xe100_141211_1710,1412111710,YBe,other,S1,4.4,5.4,closed,420.98,,3091,,,,YBe dataset - NO HE veto.
xe100_141211_2054,1412112054,Cs137,red,S1,4.4,5.4,closed,3640.43,3640.4,100000,100000,0.4.5,,"88YBe inside shield, low field, +-220 us window"
xe100_141211_2229,1412112229,YBe,other,S1,4.4,5.4,closed,52543.5,52543.5,137170,137000,0.4.5,,YBe dataset - NO HE veto - Rn distill
xe100_141212_1310,1412121310,Cs137,red,S1,4.4,5.4,closed,4524.79,4524.8,100000,100000,0.4.5,,"88YBe inside shield, low field, +-220 us window"
xe100_141212_1943,1412121943,Cs137,red,S1,4.4,5.4,closed,4550.37,4550.4,100000,100000,0.4.5,,"88YBe inside shield, low field, +-220 us window"
xe100_141212_2327,1412122327,YBe,other,S1,4.4,5.4,closed,30755.9,30755.9,79811,79811,0.4.5,,YBe dataset - NO HE veto - Rn distill
xe100_141213_0759,1412130759,Cs137,red,S1,4.4,5.4,closed,3723.43,3723.4,100000,100000,0.4.5,,"88YBe inside shield, low field, +-220 us window"
xe100_141213_1440,1412131440,YBe,other,S1,4.4,5.4,closed,62993.8,62993.8,162768,162000,0.4.5,,YBe dataset - NO HE veto - Rn distill
xe100_141216_1332,1412161332,Cs137,red,S1,4.4,5.4,closed,3480.54,3480.5,100000,100000,0.4.5,,"88YBe inside shield, low field, +-220 us window"
xe100_141216_1740,1412161740,YBe,other,S1,4.4,5.4,closed,84283.6,84283.6,235730,235730,0.4.5,,YBe dataset - NO HE veto - Rn distill
xe100_141217_1657,1412171657,YBe,other,S1,4.4,5.4,closed,93680.1,93680.1,266683,266683,0.4.5,,YBe dataset - NO HE veto - Rn distill
xe100_141218_1859,1412181859,Cs137,red,S1,4.4,5.4,closed,3377.34,3377.3,100000,100000,0.4.5,,"88YBe inside shield, low field, +-220 us window"
xe100_141218_2102,1412182102,YBe,other,S1,4.4,5.4,closed,78141.1,78141.1,220100,220100,0.4.5,,YBe dataset - NO HE veto - Rn distill
xe100_141219_1838,1412191838,YBe,other,S1,4.4,5.4,closed,85254.1,85254.1,238948,238948,0.4.5,,YBe dataset - NO HE veto - Rn distill
xe100_141220_1814,1412201814,YBe,other,S1,4.4,5.4,closed,80738.6,80738.6,225968,225968,0.4.5,,YBe dataset - NO HE veto - Rn distill
xe100_141221_1633,1412211633,YBe,other,S1,4.4,5.4,closed,63319.8,63319.8,176621,176621,0.4.5,,YBe dataset - NO HE veto - Rn distill
xe100_141223_1153,1412231153,Cs137,red,S1,4.4,5.4,closed,2002.92,2002.9,55621,55621,0.4.5,,"88YBe inside shield, low field, +-220 us window"
xe100_141223_1232,1412231232,YBe,other,S1,4.4,5.4,closed,112820,112820,295464,295464,0.4.5,,YBe dataset - NO HE veto - Rn distill
xe100_141224_1943,1412241943,YBe,other,S1,4.4,5.4,closed,85297.3,85297.3,223809,223809,0.4.5,,YBe dataset - NO HE veto - Rn distill
xe100_141225_1919,1412251919,YBe,other,S1,4.4,5.4,closed,78315.1,78315.1,203167,203167,0.4.5,,YBe dataset - NO HE veto - Rn distill
xe100_141226_1701,1412261701,Cs137,red,S1,4.4,5.4,closed,3499.05,3499.1,100000,100000,0.4.5,,"88YBe inside shield, low field, +-220 us window"
xe100_141226_1816,1412261816,YBe,other,S1,4.4,5.4,closed,102987,102987,262740,262740,0.4.5,,YBe dataset - NO HE veto - Rn distill
xe100_141227_2244,1412272244,YBe,other,S1,4.4,5.4,closed,55483.8,55483.8,141887,141887,0.4.5,,YBe dataset - NO HE veto - Rn distill
xe100_141228_1429,1412281429,YBe,other,S1,4.4,5.4,closed,76895.3,76895.3,194999,194999,0.4.5,,YBe dataset - NO HE veto - Rn distill
xe100_141229_1143,1412291143,Cs137,red,S1,4.4,5.4,closed,3035.04,3035,85834,85834,0.4.5,,"88YBe inside shield, low field, +-220 us window"
xe100_141229_1241,1412291241,YBe,other,S1,4.4,5.4,closed,116845,116845,293855,293855,0.4.5,,YBe dataset - NO HE veto - Rn distill
xe100_141230_2110,1412302110,YBe,other,S1,4.4,5.4,closed,62245.2,62245.2,156077,156077,0.4.5,,YBe dataset - NO HE veto - Rn distill
xe100_141231_1422,1412311422,YBe,other,S1,4.4,5.4,closed,94125.9,94125.9,235395,235395,0.4.5,,YBe dataset - NO HE veto - Rn distill
xe100_150101_1624,1501011624,YBe,other,S1,4.4,5.4,closed,76831.3,76831.3,192087,192087,0.4.5,,YBe dataset - NO HE veto - Rn distill
xe100_150102_1348,1501021348,Cs137,red,S1,4.4,5.4,closed,3018.47,3018.5,83501,83501,0.4.5,,"88YBe inside shield, low field, +-220 us window"
xe100_150103_0905,1501030905,YBe,other,S1,4.4,5.4,closed,30.0849,,820,,,,YBe dataset - NO HE veto - Rn distill
xe100_150103_0909,1501030909,YBe,other,S1,4.4,5.4,closed,90994.4,90994.4,222258,222258,0.4.5,,YBe dataset - NO HE veto - Rn distill
xe100_150104_1017,1501041017,YBe,other,S1,4.4,5.4,closed,85965.1,85965.1,210751,210751,0.4.5,,YBe dataset - NO HE veto - Rn distill
xe100_150105_1003,1501051003,Cs137,red,S1,4.4,5.4,closed,3408.98,3409,100000,100000,0.4.5,,"88YBe inside shield, low field, +-220 us window"
xe100_150105_1107,1501051107,YBe,other,S1,4.4,5.4,closed,89246.5,89246.5,216474,216474,0.4.5,,YBe dataset - NO HE veto - Rn distill
xe100_150106_1150,1501061150,YBe,other,S1,4.4,5.4,closed,158266,,383046,,0.4.5,,YBe dataset - NO HE veto - Rn distill
xe100_150108_1251,1501081251,Cs137,red,S1,4.4,5.4,closed,3762.75,3762.8,100000,100000,0.4.5,,"88YBe inside shield, low field, +-220 us window"
xe100_150108_1753,1501081753,YBe,other,S1,4.4,5.4,closed,58124.5,58124.5,138920,138920,0.4.5,,YBe dataset - NO HE veto - Rn distill
xe100_150109_0956,1501090956,YBe,other,S1,4.4,5.4,closed,22867.3,22867.3,56999,56999,0.4.5,,YBe dataset - NO HE veto - Rn distill
xe100_150109_1623,1501091623,Cs137,red,S1,4.4,5.4,closed,3553.78,3553.8,100000,100000,0.4.5,,"Rn-222, source in loop, 88YBe inside shield, low field, +-220 us window"
xe100_150109_1756,1501091756,YBe,other,S1,4.4,5.4,closed,65071.4,65071.4,162613,162613,0.4.5,,"YBe dataset - NO HE veto - Rn distill, flushing through radon source"
xe100_150110_1158,1501101158,Cs137,red,S1,4.4,5.4,closed,3593.6,3593.6,100000,100000,0.4.5,,"Rn-222 source in loop, 88YBe inside shield, low field, +-220 us window"
xe100_150110_1347,1501101347,YBe,other,S1,4.4,5.4,closed,80191.1,80191.1,198528,198528,0.4.5,,"YBe dataset - NO HE veto - Rn distill, flushing through radon source"
xe100_150111_1159,1501111159,Cs137,red,S1,4.4,5.4,closed,3862.23,3862.2,100000,100000,0.4.5,,"Rn-222 source in loop, 88YBe inside shield, low field, +-220 us window"
xe100_150111_1514,1501111514,YBe,other,S1,4.4,5.4,closed,70520.8,70520.8,174130,174130,0.4.5,,"YBe dataset - NO HE veto - Rn distill, flushing through radon source"
xe100_150112_1127,1501121127,LED,other,EXT,4.4,5.4,closed,1001.41,,100000,,,,"F1 4.60V, F2 4.85V, width 4usi"
xe100_150112_1204,1501121204,YBe,other,S1,4.4,5.4,closed,70336,70336,168649,168649,0.4.5,,YBe dataset - NO HE veto - flushing through radon source - while filling column
xe100_150113_0730,1501130730,YBe,other,S1,4.4,5.4,closed,31944.2,31944.2,80835,80835,0.4.5,,YBe dataset - NO HE veto - flushing through radon source - while filling column
xe100_150113_1647,1501131647,LED,other,EXT,4.4,5.4,closed,1029.52,,100000,,,,"F1 4.55V, F2 4.85V, width 4usi"
xe100_150113_1730,1501131730,YBe,other,S1,4.4,5.4,closed,67759.1,67759.1,165032,165032,0.4.5,,YBe dataset - NO HE veto - flushing through radon source - while filling column
xe100_150114_1214,1501141214,YBe,other,S1,4.4,5.4,closed,85775,85775,211029,211029,0.4.5,,YBe dataset - NO HE veto - flushing through radon source - while filling column
xe100_150115_1156,1501151156,YBe,other,S1,4.4,5.4,closed,24543.9,,59891,,0.4.5,,YBe dataset - NO HE veto - flushing through radon source - while filling column
xe100_150115_1856,1501151856,LED,other,EXT,4.4,5.4,closed,1028.67,,100000,,,,"F1 4.55V, F2 4.85V, width 4usi"
xe100_150115_1916,1501151916,YBe,other,S1,4.4,5.4,closed,58306.2,58306.2,139837,139837,0.4.5,,YBe dataset - NO HE veto - flushing through radon source - while filling column
xe100_150116_1148,1501161148,LED,other,EXT,4.4,5.4,closed,1001.28,,100000,,,,"F1 4.60V, F2 4.85V, width 4usi"
xe100_150116_1217,1501161217,Cs137,red,S1,4.4,5.4,closed,3263.33,3263.3,100000,100000,0.4.5,,"Rn-222 source in loop, 88YBe inside shield, low field, +-220 us window"
xe100_150116_1514,1501161514,YBe,other,S1,4.4,5.4,closed,73385.7,73385.7,172928,172928,0.4.5,,YBe dataset - NO HE veto - flushing through radon source - while filling column
xe100_150117_1130,1501171130,YBe,other,S1,4.4,5.4,closed,82445.3,82445.3,195561,195561,0.4.5,,YBe dataset - NO HE veto - flushing through radon source - while filling column
xe100_150118_1016,1501181016,YBe,other,S1,4.4,5.4,closed,86822,86822,204473,204473,0.4.5,,YBe dataset - NO HE veto - flushing through radon source - while filling column
xe100_150119_1055,1501191055,Cs137,red,S1,4.4,5.4,closed,3110.42,3110.4,100000,100000,0.4.5,,"Rn-222 source in loop, 88YBe inside shield, low field, +-220 us window"
xe100_150119_1213,1501191213,LED,other,EXT,4.4,5.4,closed,1052.99,,100000,,,,"F1 4.60V, F2 4.85V, width 4usi"
xe100_150119_1234,1501191234,YBe,other,S1,4.4,5.4,closed,70851.2,70851.2,163560,163560,0.4.5,,YBe dataset - NO HE veto - flushing through radon source - while filling column
xe100_150120_0808,1501200808,YBe,other,S1,4.4,5.4,closed,29488.1,29488.1,68208,68208,0.4.5,,YBe dataset - NO HE veto - flushing through radon source - while filling column
